station_origin,station_destination,flows,prodsimest1,prodsimest4,prodsimest5,prodsimest6
Abbey Road,Bank and Monument,0,141,154,95,50
Abbey Road,Canary Wharf,1,116,71,95,62
Abbey Road,Stratford,285,125,137,190,259
Acton Central,Euston,17,80,80,82,73
Acton Central,Stratford,11,203,203,159,103
Acton Town,Bank and Monument,66,155,157,145,125
Acton Town,Bond Street,27,53,54,55,53
Acton Town,Canary Wharf,57,120,69,99,75
Acton Town,Euston,14,44,45,43,39
Acton Town,Green Park,79,66,67,70,72
Acton Town,Liverpool Street,55,126,128,115,96
Acton Town,Oxford Circus,38,99,100,102,100
Acton Town,Stratford,10,114,115,90,63
Acton Town,Warren Street,25,45,46,45,42
Acton Town,Waterloo,32,58,59,59,55
Acton Town,Westminster,33,42,42,43,42
Aldgate,Bank and Monument,5,133,135,215,316
Aldgate,Bond Street,13,40,40,35,25
Aldgate,Canary Wharf,1,93,53,79,54
Aldgate,Euston,4,34,34,32,25
Aldgate,Green Park,3,49,50,44,32
Aldgate,Liverpool Street,67,115,116,247,511
Aldgate,Oxford Circus,15,74,76,68,50
Aldgate,Stratford,6,88,89,72,47
Aldgate,Warren Street,0,34,35,31,23
Aldgate,Waterloo,3,45,46,48,42
Aldgate,Westminster,14,32,32,31,25
Aldgate East,Bank and Monument,95,143,145,220,315
Aldgate East,Bond Street,39,43,44,38,28
Aldgate East,Canary Wharf,3,103,59,99,81
Aldgate East,Euston,13,37,37,35,28
Aldgate East,Green Park,46,53,54,47,35
Aldgate East,Liverpool Street,47,122,123,236,446
Aldgate East,Oxford Circus,50,81,82,74,56
Aldgate East,Stratford,82,97,99,89,68
Aldgate East,Warren Street,3,37,38,34,26
Aldgate East,Waterloo,49,49,50,51,46
Aldgate East,Westminster,100,34,35,33,27
All Saints,Bank and Monument,93,168,184,126,80
All Saints,Canary Wharf,67,149,92,208,277
All Saints,Stratford,258,131,143,114,86
Alperton,Bank and Monument,7,78,79,74,67
Alperton,Bond Street,1,27,27,27,27
Alperton,Canary Wharf,7,60,35,52,42
Alperton,Euston,2,22,22,22,20
Alperton,Green Park,22,33,33,34,35
Alperton,Liverpool Street,4,63,64,59,52
Alperton,Oxford Circus,3,49,50,50,50
Alperton,Stratford,2,57,58,48,37
Alperton,Warren Street,1,23,23,23,22
Alperton,Waterloo,3,29,30,29,28
Alperton,Westminster,4,21,21,21,21
Amersham,Bank and Monument,14,56,57,55,53
Amersham,Bond Street,11,19,19,19,20
Amersham,Canary Wharf,54,44,25,41,37
Amersham,Green Park,15,23,24,23,23
Amersham,Liverpool Street,57,45,46,44,43
Amersham,Oxford Circus,15,35,36,36,36
Amersham,Stratford,4,42,43,39,36
Amersham,Warren Street,0,16,16,16,16
